car_model,price,year_model,kms,color,fueltype
Spark Gt Modelo 2013 Versión Full,$29.950.000,2013,83.640,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$25.000.000,2015,100.000,Rojo,Gasolina
Chevrolet Spark GT 1.2 Ls,$37.500.000,2021,53.000,Plateado,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$22.500.000,2014,110.485,Color not found,Gasolina
Chevrolet Spark Gt Mt,$28.900.000,2015,101.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$27.900.000,2016,51.300,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$28.500.000,2018,55.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$28.000.000,2016,44.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt Lt,$38.000.000,2019,109.000,Gris,Gasolina
Chevrolet Spark Gt,$34.800.000,2017,83.000,Plateado,Gasolina
Chevrolet Spark,$31.900.000,2015,82.800,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$25.400.000,2015,22.302,Negro,Gasolina
Chevrolet Spark Gt La Versión Más Full ,$28.000.000,2013,145.000,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$15.000.000,2006,217.000,Color not found,Gasolina
Chevrolet Spark Gt Spark Gt ,$28.000.000,2015,171.585,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ltz,$36.000.000,2019,87.874,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$25.500.000,2014,126.000,Color not found,Gasolina
Chevrolet Spark Gt Spark Gt,$28.000.000,2011,112.939,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ltz,$50.000.000,2022,48.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$25.000.000,2019,137.000,Color not found,Gasolina
Chevrolet Spark Gt Spark Gt Ltz,$26.900.000,2013,130.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ls,$38.700.000,2020,32.000,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300,$27.500.000,2013,60.500,Rojo,Gasolina
Chevrolet Spark Gt,$34.000.000,2016,56.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$36.000.000,2018,70.400,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$36.200.000,2018,43.000,Plateado,Gasolina
Chevrolet Spark 1.0 Lt M200,$22.000.000,2011,93.650,Rojo,Gasolina
Chevrolet Spark 1.0l,$20.000.000,2011,85.000,Azul,Gasolina
Chevrolet Spark Gt,$31.500.000,2015,110.500,Plateado,Gasolina
Chevrolet Spark GT 1.2 Lt,$37.500.000,2020,56.000,Gris,Gasolina
Chevrolet Spark Gt Full,$36.000.000,2017,66.300,Gris,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$19.500.000,2013,121.485,Gris,Gasolina
Chevrolet Spark 1.0 7:24,$18.000.000,2007,125.000,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$23.000.000,2017,86.500,Gris,Gasolina
Chevrolet Spark Gt Ltz,$31.200.000,2015,82.000,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$10.490.000,2009,205.000,Blanco,Gasolina
Chevrolet Spark 1.0 Lt M200,$21.900.000,2012,72.500,Color not found,Gasolina
Chevrolet Spark Gt Lt,$25.000.000,2012,131.000,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$30.400.000,2019,80.000,Color not found,Gasolina
Chevrolet Spark 1.0 Go,$22.000.000,2012,160.000,Color not found,Gasolina
Chevrolet Spark 1.0 Lt M200,$19.000.000,2009,108.000,Color not found,Gasolina
Chevrolet Spark 1.0 Lt M200,$25.900.000,2014,48.900,Color not found,Gasolina
